img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
87,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0
88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
89,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
90,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1
91,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0
92,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
94,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
95,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0
96,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1
97,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1
98,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
99,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1
100,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0
101,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
102,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1
103,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
104,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1
105,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
106,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
109,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0
110,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0
111,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
112,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
113,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
114,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
115,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1
118,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
119,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0
120,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0
121,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
122,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
123,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0
124,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
125,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0
126,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
127,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
128,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
129,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1
130,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1
131,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
132,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
133,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
134,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
135,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1
136,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1
