R2,RMSE,MAE,MedAE,MAPE
0.68,372598.11,270493.26,200519.62,0.34
0.68,372674.25,270638.24,201149.62,0.34
0.65,390198.8,260643.52,162704.3,0.28
0.63,402047.49,210913.13,127497.35,0.22
